AK	hope	60.886	-149.633	52	0
AK	houston	61.615	-149.801	24	1
AK	hughes	66.045	-154.238	3	1
AK	huslia	65.706	-156.311	16	1
AK	hydaburg	55.206	-132.82	0	1
AK	hyder	55.982	-130.038	17	0
AK	igiugig	59.301	-155.863	21	0
AK	iliamna	59.778	-154.884	37	0
AK	ivanof bay	55.918	-159.493	4	0
AK	juneau	58.373	-134.178	2704	1
AK	kachemak	59.675	-151.436	2	1
AK	kake	56.975	-133.904	8	1
AK	kaktovik	70.121	-143.629	1	1
AK	kalifornsky	60.453	-151.22	69	0
AK	kaltag	64.314	-158.779	22	1
AK	karluk	57.591	-154.363	56	0
AK	kasaan	55.561	-132.407	6	1
AK	kasigluk	60.864	-162.537	12	0
AK	kasilof	60.319	-151.233	10	0
AK	kenai	60.562	-151.208	29	1
AK	kenny lake	61.622	-144.821	195	0
AK	ketchikan	55.357	-131.675	4	1
AK	kiana	66.973	-160.434	0	1
AK	king cove	55.085	-162.317	25	1
AK	king salmon	58.735	-156.529	168	0
AK	kipnuk	59.937	-164.062	20	0
AK	kivalina	67.727	-164.536	2	1
AK	klawock	55.556	-133.086	1	1
AK	klukwan	59.402	-135.883	1	0
AK	knik fairview	61.508	-149.623	74	0
AK	knik river	61.462	-149.007	82	0
AK	kobuk	66.923	-156.904	16	1
AK	kodiak	57.791	-152.42	4	1
AK	kodiak station	57.768	-152.596	23	0
AK	kokhanok	59.412	-154.746	21	0
AK	koliganek	59.697	-157.225	17	0
AK	kongiganak	59.992	-162.847	13	0
AK	kotlik	63.029	-163.537	3	1
AK	kotzebue	66.877	-162.503	25	1
AK	koyuk	64.941	-161.145	5	1
AK	koyukuk	64.902	-157.694	6	1
AK	kupreanof	56.821	-132.972	3	1
AK	kwethluk	60.793	-161.431	10	1
AK	kwigillingok	59.878	-163.177	24	0
AK	lake louise	62.302	-146.54	56	0
AK	lake minchumina	63.79	-152.462	227	0
AK	larsen bay	57.53	-154.001	4	1
AK	lazy mountain	61.658	-148.926	59	0
AK	levelock	59.068	-156.901	17	0
AK	lime village	61.33	-155.238	77	0
AK	livengood	65.477	-148.423	265	0
AK	loring	55.607	-131.64	1	0
AK	lowell point	60.076	-149.494	12	0
AK	lower kalskag	61.514	-160.359	1	1
AK	lutak	59.412	-135.589	127	0
AK	manley hot springs	65.019	-150.645	55	0
AK	manokotak	58.727	-158.906	73	1
AK	marshall	61.872	-162.061	4	1
AK	mccarthy	61.454	-142.865	149	0
AK	mcgrath	62.939	-155.568	42	1
AK	meadow lakes	61.638	-149.61	75	0
AK	mekoryuk	60.37	-166.268	7	1
AK	mendeltna	62.146	-146.758	452	0
AK	mentasta lake	63.012	-143.561	301	0
AK	mertarvik	60.811	-164.499	7	0
AK	metlakatla	55.115	-131.556	2	0
AK	mill bay	57.816	-152.368	3	0
AK	minto	65.09	-149.59	133	0
AK	moose creek	64.716	-147.167	2	0
AK	moose pass	60.506	-149.468	18	0
AK	mosquito lake	59.475	-136.199	77	0
AK	mountain village	62.092	-163.695	4	1
AK	mud bay	59.151	-135.356	12	0
AK	nabesna	62.497	-143.007	160	0
AK	naknek	58.785	-156.886	82	0
AK	nanwalek	59.334	-151.93	8	0
AK	napakiak	60.691	-161.986	2	1
AK	napaskiak	60.703	-161.754	3	1
AK	naukati bay	55.874	-133.195	5	0
AK	nelchina	62.01	-146.83	47	0
AK	nelson lagoon	55.837	-161.636	188	0
AK	nenana	64.536	-149.084	6	1
AK	new stuyahok	59.485	-157.309	34	1
AK	newhalen	59.737	-154.902	6	1
AK	newtok	60.935	-164.646	1	0
AK	nightmute	60.462	-164.835	99	1
AK	nikiski	60.725	-151.225	69	0
AK	nikolaevsk	59.83	-151.596	35	0
AK	nikolai	62.999	-154.375	4	1
AK	nikolski	53.008	-168.719	132	0
AK	ninilchik	60.061	-151.404	207	0
AK	noatak	67.589	-163.01	16	0
AK	nome	64.506	-165.415	13	1
AK	nondalton	59.975	-154.866	7	1
AK	noorvik	66.828	-161.035	1	1
AK	north lakes	61.618	-149.311	15	0
AK	north pole	64.753	-147.363	4	1
AK	northway	63.001	-141.541	242	0
AK	nuiqsut	70.213	-150.99	9	1
AK	nulato	64.691	-158.275	41	1
AK	nunam iqua	62.507	-164.901	12	1
AK	nunapitchuk	60.882	-162.465	7	1
AK	old harbor	57.219	-153.33	16	1
AK	oscarville	60.723	-161.788	3	0
AK	ouzinkie	57.925	-152.462	6	1
AK	palmer	61.597	-149.115	5	1
AK	paxson	62.976	-145.758	305	0
AK	pedro bay	59.789	-154.126	19	0
AK	pelican	57.959	-136.215	1	1
AK	perryville	55.934	-159.156	11	0
AK	petersburg	56.757	-132.875	44	0
AK	petersville	62.453	-150.884	462	0
AK	pilot point	57.541	-157.723	25	1
AK	pilot station	61.948	-162.873	2	1
AK	pitkas point	62.037	-163.268	2	0
AK	platinum	58.953	-161.747	47	1
AK	pleasant valley	64.885	-146.899	31	0
AK	point baker	56.348	-133.617	1	0
AK	point hope	68.344	-166.681	5	1
AK	point lay	69.737	-162.835	29	0
AK	point mackenzie	61.343	-150.049	162	0
AK	point possession	60.923	-150.689	42	0
AK	pope vannoy landing	59.571	-154.447	56	0
AK	port alexander	56.238	-134.653	4	1
AK	port alsworth	60.157	-154.34	23	0
AK	port clarence	65.109	-166.765	34	0
AK	port graham	59.34	-151.846	6	0
AK	port heiden	56.965	-158.586	47	1
AK	port lions	57.867	-152.856	5	1
AK	port protection	56.332	-133.606	4	0
AK	portage creek	58.905	-157.67	13	0
AK	primrose	60.342	-149.296	34	0
AK	prudhoe bay	70.366	-148.749	390	0
AK	quinhagak	59.751	-161.897	4	1
AK	rampart	65.405	-149.921	170	0
AK	red devil	61.757	-157.359	25	0
AK	red dog mine	68.064	-162.867	69	0
AK	ridgeway	60.531	-151.052	17	0
AK	ruby	64.723	-155.501	7	1
AK	russian mission	61.779	-161.363	5	1
AK	salamatof	60.604	-151.311	8	0
AK	salcha	64.534	-146.884	75	0
AK	sand point	55.313	-160.484	8	1
AK	savoonga	63.68	-170.483	6	1
AK	saxman	55.323	-131.589	1	1
AK	scammon bay	61.842	-165.583	0	1
AK	selawik	66.592	-160.002	2	1
AK	seldovia	59.439	-151.71	0	1
AK	seldovia village	59.461	-151.589	18	0
AK	seward	60.125	-149.392	14	1
AK	shageluk	62.662	-159.551	10	1
AK	shaktoolik	64.354	-161.194	1	1
AK	shishmaref	66.233	-166.125	2	1
AK	shungnak	66.881	-157.15	8	1
AK	silver springs	62.019	-145.358	3	0
AK	sitka	57.193	-135.367	2870	1
AK	skagway	59.464	-135.276	9	0
AK	skwentna	61.889	-151.2	439	0
AK	slana	62.604	-143.455	253	0
AK	sleetmute	61.654	-157.103	96	0
AK	soldotna	60.485	-151.069	7	1
AK	south lakes	61.588	-149.316	8	0
AK	south naknek	58.676	-156.994	87	0
AK	south van horn	64.81	-147.788	8	0
AK	st george	56.571	-169.66	35	1
AK	st marys	62.063	-163.244	45	1
AK	st michael	63.458	-162.134	22	1
AK	st paul	57.179	-170.323	43	1
AK	stebbins	63.473	-162.26	33	1
AK	steele creek	64.926	-147.435	93	0
AK	sterling	60.54	-150.805	78	0
AK	stevens village	66.024	-149.08	12	0
AK	stony river	61.792	-156.591	3	0
AK	sunrise	60.87	-149.468	13	0
AK	susitna	61.54	-150.588	216	0
AK	susitna north	62.148	-149.749	276	0
AK	sutton alpine	61.741	-148.874	58	0
AK	takotna	62.983	-156.084	23	0
AK	talkeetna	62.31	-149.924	94	0
AK	tanacross	63.329	-143.487	79	0
AK	tanaina	61.657	-149.428	30	0
AK	tanana	65.184	-152.055	11	1
AK	tatitlek	60.894	-146.669	7	0
AK	tazlina	62.05	-145.443	8	0
AK	teller	65.252	-166.352	1	1
AK	tenakee springs	57.79	-135.135	13	1
AK	tetlin	63.182	-142.504	68	0
AK	thorne bay	55.667	-132.536	27	1
AK	togiak	59.053	-160.397	42	1
AK	tok	63.329	-143.038	134	0
AK	toksook bay	60.528	-165.106	29	1
AK	tolsona	62.068	-146.12	46	0
AK	tonsina	61.53	-145.11	159	0
AK	trapper creek	62.415	-150.408	320	0
AK	tuluksak	61.104	-160.938	3	0
AK	tuntutuliak	60.41	-162.67	116	0
AK	tununak	60.607	-165.127	61	0
AK	twin hills	59.082	-160.281	23	0
AK	two rivers	64.891	-147.09	28	0
AK	tyonek	61.099	-151.339	68	0
AK	ugashik	57.647	-156.995	254	0
AK	unalakleet	63.894	-160.797	3	1
AK	unalaska	53.91	-166.529	102	1
AK	upper kalskag	61.54	-160.349	4	1
AK	utqiagvik	71.254	-156.798	19	1
AK	valdez	61.084	-146.317	213	1
AK	venetie	67.021	-146.374	23	0
AK	wainwright	70.658	-159.985	10	1
AK	wales	65.613	-168.068	2	1
AK	wasilla	61.581	-149.461	12	1
AK	whale pass	56.082	-133.067	20	1
AK	white mountain	64.682	-163.413	2	1
AK	whitestone	64.153	-145.906	7	0
AK	whitestone logging camp	58.058	-135.409	11	0
AK	whittier	60.777	-148.664	12	1
AK	willow	61.887	-149.62	690	0
AK	willow creek	61.83	-145.199	37	0
AK	wiseman	67.481	-150.159	78	0
AK	womens bay	57.687	-152.685	44	0
AK	wrangell	56.181	-132.027	2556	1
AK	yakutat	59.564	-139.606	100	0
AL	abanda	33.092	-85.527	3	0
AL	abbeville	31.565	-85.259	16	1
AL	adamsville	33.602	-86.972	26	1
AL	addison	34.203	-87.178	4	1
AL	akron	32.879	-87.741	1	1
AL	alabaster	33.214	-86.823	26	1
AL	albertville	34.263	-86.211	27	1
AL	alexander city	32.917	-85.941	46	1
AL	alexandria	33.761	-85.872	11	0
AL	aliceville	33.124	-88.159	5	1
AL	allgood	33.908	-86.516	1	1
AL	altoona	34.04	-86.305	5	1
AL	andalusia	31.309	-86.478	20	1
AL	anderson	34.916	-87.274	1	1
AL	anniston	33.673	-85.811	46	1
AL	arab	34.332	-86.501	13	1
AL	ardmore	34.988	-86.829	2	1
AL	argo	33.691	-86.505	11	1
AL	ariton	31.598	-85.713	5	1
AL	arley	34.076	-87.218	4	1
AL	ashford	31.185	-85.236	6	1
AL	ashland	33.27	-85.834	7	1
AL	ashville	33.835	-86.27	19	1
AL	athens	34.779	-86.951	41	1
AL	atmore	31.124	-87.458	22	1
AL	attalla	33.986	-86.121	7	1
AL	auburn	32.608	-85.495	62	1
AL	autaugaville	32.433	-86.659	8	1
AL	avon	31.18	-85.279	2	1
AL	axis	30.922	-88.023	3	0
AL	babbie	31.302	-86.319	11	1
AL	baileyton	34.261	-86.609	5	1
AL	bakerhill	31.777	-85.295	3	1
AL	ballplay	34.023	-85.801	24	0
AL	banks	31.813	-85.836	2	1
AL	bay minette	30.894	-87.791	17	1
AL	bayou la batre	30.408	-88.263	7	1
AL	bear creek	34.255	-87.713	14	1
AL	beatrice	31.733	-87.209	1	1
AL	beaverton	33.935	-88.022	5	1
AL	belgreen	34.475	-87.862	1	0
AL	belk	33.652	-87.929	1	1
AL	bellamy	32.464	-88.131	4	0
AL	belle fontaine	30.489	-88.106	2	0
AL	benton	32.308	-86.818	0	1
AL	berlin	34.185	-86.749	1	1
AL	berry	33.667	-87.609	11	1
AL	bessemer	33.371	-86.972	41	1
AL	billingsley	32.665	-86.707	1	1
AL	birmingham	33.527	-86.797	147	1
AL	black	31.01	-85.744	4	1
AL	blountsville	34.076	-86.584	5	1
AL	blue ridge	32.499	-86.182	8	0
AL	blue springs	31.664	-85.504	3	1
AL	boaz	34.199	-86.155	15	1
AL	boligee	32.768	-88.029	4	1
AL	bon air	33.259	-86.327	1	1
AL	bon secour	30.318	-87.724	4	0
AL	boykin	32.068	-87.294	3	0
AL	brantley	31.582	-86.257	3	1
AL	brantleyville	33.219	-86.883	2	0
AL	brent	32.945	-87.172	9	1
AL	brewton	31.109	-87.077	11	1
AL	bridgeport	34.949	-85.724	4	1
AL	brighton	33.44	-86.945	1	1
AL	brilliant	34.026	-87.769	11	1
AL	bristow cove	34.109	-86.241	11	0
AL	brook highland	33.438	-86.685	3	0
AL	brookside	33.635	-86.906	6	1
AL	brookwood	33.24	-87.331	8	1
AL	broomtown	34.366	-85.532	5	0
AL	brundidge	31.718	-85.818	10	1
AL	bucks	31.017	-88.026	0	0
AL	butler	32.096	-88.211	7	1
AL	calera	33.122	-86.746	25	1
AL	calvert	31.15	-88.022	2	0
AL	camden	31.998	-87.289	4	1
AL	camp hill	32.797	-85.656	9	1
AL	carbon hill	33.895	-87.522	6	1
AL	cardiff	33.647	-86.931	0	1
AL	carlisle rockledge	34.114	-86.124	16	0
AL	carlton	31.349	-87.836	5	0
AL	carolina	31.234	-86.521	1	1
AL	carrollton	33.262	-88.095	2	1
AL	castleberry	31.3	-87.029	2	1
AL	catherine	32.186	-87.47	2	0
AL	cedar bluff	34.221	-85.589	5	1
AL	center point	33.644	-86.685	6	1
AL	centre	34.153	-85.672	12	1
AL	centreville	32.959	-87.132	9	1
AL	chatom	31.469	-88.246	11	1
AL	chelsea	33.309	-86.635	33	1
AL	cherokee	34.758	-87.966	2	1
AL	chickasaw	30.771	-88.08	4	1
AL	childersburg	33.293	-86.341	12	1
AL	choccolocco	33.668	-85.707	12	0
AL	chunchula	30.927	-88.208	2	0
AL	citronelle	31.097	-88.25	26	1
AL	clanton	32.846	-86.619	23	1
AL	clay	33.697	-86.608	11	1
AL	clayhatchee	31.237	-85.721	3	1
AL	clayton	31.882	-85.46	7	1
AL	cleveland	34.002	-86.561	8	1
AL	clio	31.709	-85.611	10	1
AL	coaling	33.17	-87.35	5	1
AL	coats bend	34.073	-85.875	9	0
AL	coffee springs	31.166	-85.911	1	1
AL	coffeeville	31.767	-88.086	5	1
AL	coker	33.244	-87.681	2	1
AL	collinsville	34.267	-85.869	3	1
